c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
39876,0,107,local teacher,鄉先生,0,0,7596,,建平山書院，教授于鄉。
39879,0,77,retainer (ke),門客,,,7596,3735,
39880,0,71,painter,畫家,0,0,7596,3388,有《茅亭賞雪圖》傳世。
39885,0,157,honest official,良吏;循吏,,,7596,3390,
39886,0,40,civil office,[為官者：文],0,0,7596,,
39887,0,40,civil office,[為官者：文],0,0,7596,,
39889,0,141,dynastic martyr,死國難,0,0,7596,,建炎初以武校尉隨閻進至金，金人拘留者散處之，勣分在粘罕所，數日，勣遽求妻室，粘罕喜，令擇所擄內人妻之。取最醜者，不半月亡去。追還，含笑死梃下。蓋勣求妻者，所以固粘罕也。
39890,0,12,Confucian learning,儒學,,,7596,3618,
39894,0,40,civil office,[為官者：文],0,0,7596,,
39895,0,238,rhapsody writer,工於作賦,,,7596,3393,
39896,0,137,outer noblewoman,[外命婦],0,0,7596,,秦國太夫人。
39898,0,238,rhapsody writer,工於作賦,,,7596,3740,
39899,0,67,office: medical office,[醫官],0,0,7596,,
39902,0,61,military,[武官],0,0,7596,,
39909,0,137,outer noblewoman,[外命婦],0,0,7596,,萬縣太君太原郡夫人
39911,0,137,outer noblewoman,[外命婦],0,0,7596,,宜都縣主
39914,0,40,civil office,[為官者：文],0,0,7596,,
39915,0,40,civil office,[為官者：文],0,0,7596,,
39916,0,40,civil office,[為官者：文],0,0,7596,,
39921,0,61,military,[武官],0,0,7596,,
39923,0,85,academy (shuyuan) director,書院山長,0,0,7596,3843,
39923,0,150,dynastic loyalist,遺民,0,0,7596,,
39924,0,150,dynastic loyalist,遺民,0,0,7596,,
39924,1,107,local teacher,鄉先生,,,9599,3725,教鄉
39925,0,61,military,[武官],0,0,7596,,
39928,0,114,poet,詩人,0,0,7596,3844,
39929,0,114,poet,詩人,,,7596,3929,
39929,0,180,erudite,博學之人,,,7596,3929,
39930,0,2,army officer,武將,,,7596,3637,
39930,0,29,eunuch,宦官,0,0,7596,,
39931,0,40,civil office,[為官者：文],,,0,,
39934,0,61,military,[武官],,,0,,
39935,0,71,painter,畫家,,,0,,
39936,0,22,died young,早卒(未成年而卒),,,7596,3212,
39936,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,
39936,0,120,died before exams,未參加科舉而卒,,,7596,3212,
39936,0,164,Classicist,經學家,,,7596,3212,
39937,0,251,excelled in archery,精於箭術,,,7596,499,
39938,0,40,civil office,[為官者：文],,,0,,
39939,0,67,office: medical office,[醫官],,,0,,醫官任仲言轉一官制(道鄉集16/2)
39940,0,68,office: finance,[財政官員],,,0,,
39941,0,40,civil office,[為官者：文],,,0,,
39942,0,71,painter,畫家,,,0,,
39946,0,137,outer noblewoman,[外命婦],,,0,,太孺人
39947,0,50,landownership,家有田產,,,7596,502,
39949,0,32,manager of family affairs,主家事,,,7596,3847,
39952,0,142,historian,史學家,,,7596,504,
39952,0,180,erudite,博學之人,,,7596,504,
39956,0,40,civil office,[為官者：文],,,0,,
39958,0,4,astronomer,天文學家（星象家）,,,7596,12450,
39958,0,33,farmer,農民,,,7596,12450,
39958,0,144,holder of a private library,藏書家,,,7596,12450,
39958,0,147,filial son/daughter,孝子/孝女,,,7596,12450,
39958,0,180,erudite,博學之人,,,7596,12450,
39958,0,221,physiognomist,相面相手者,,,7596,12450,
39958,0,233,skilled at writing,工於文,,,24309,pers01857,《全唐詩・卷763》《全唐詩補編・補逸・卷16》《唐文拾遺・卷46》《唐文續拾・卷7》《全唐文・卷864》(據唐代人物知識ベース)。
39958,0,256,military strategist,熟諳兵法韜略、軍事家,,,7596,12450,
39959,0,61,military,[武官],,,0,,
39960,0,40,civil office,[為官者：文],,,0,,
39963,0,61,military,[武官],,,0,,
39964,0,40,civil office,[為官者：文],0,0,0,,
39966,0,114,poet,詩人,,,0,,
39967,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3653,
39968,0,40,civil office,[為官者：文],,,0,,
39968,0,164,Classicist,經學家,,,7596,3654,
39968,0,264,fond of learning,好學,,,7596,3654,
39970,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3762,
39970,0,213,geographer,地理學家,,,7596,3762,
39971,0,100,student: university,[大學生],,,0,,
39971,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3949,
39971,0,147,filial son/daughter,孝子/孝女,,,7596,3949,
39975,0,94,teacher,收徒講學,,,7596,3221,
39977,0,29,eunuch,宦官,,,0,,
39981,0,29,eunuch,宦官,,,0,,
39982,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3942,
39983,0,71,painter,畫家,,,7596,3660,
39984,0,137,outer noblewoman,[外命婦],,,0,,福昌縣太君
39984,0,139,consort family,外戚,,,0,,
39986,0,71,painter,畫家,,,0,,
39988,0,147,filial son/daughter,孝子/孝女,,,7596,3944,
39988,0,148,multigenerational family,義門,,,7596,3944,
39989,0,67,office: medical office,[醫官],,,0,,醫官任景章轉一官制(摛文堂集8/5下)
39990,0,34,office:state council,[宰執],,,0,,
39996,0,142,historian,史學家,,,7596,3769,
39996,0,192,scholar of Classics (Classics of Rites),經學家—禮經,,,7596,3769,
39996,0,204,scholar of textual criticism (jiaokan),校堪學家,,,7596,3769,
39997,0,94,teacher,收徒講學,,,7596,3859,
39997,0,111,teaching in reclusion,隱居授徒,,,0,,
39997,0,136,student: xianggong jinshi,[鄉貢進士],1084,,0,,
39998,0,36,local literatus / gentry,地方士人/鄉紳,,,7596,3884,
39998,0,39,respected by locality,為邑里所重,,,7596,3884,
39998,0,56,wealth,富豪,,,0,,
39999,0,100,student: university,[大學生],,,0,,
40001,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3413,
40003,0,30,failed exams literatus,落第士人,,,7596,3414,
40003,0,90,studying for jinshi,業進士,,,7596,3414,
40005,0,40,civil office,[為官者：文],,,0,,
40009,0,40,civil office,[為官者：文],,,0,,
40009,0,150,dynastic loyalist,遺民,,,0,,入元不仕。
40009,1,249,thinker,思想家,,,40330,,
40010,0,40,civil office,[為官者：文],,,0,,
40012,0,94,teacher,收徒講學,,,7596,3863,
40016,0,75,rebel,叛臣,,,0,,
40020,0,142,historian,史學家,,,7596,3776,
40027,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,
40027,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3230,
40029,0,137,outer noblewoman,[外命婦],,,0,,仙居縣太君。
40038,0,14,commoner (buyi),布衣,,,7596,3870,
40039,0,40,civil office,[為官者：文],,,0,,
40044,0,71,painter,畫家,,,7596,3424,
40046,0,40,civil office,[為官者：文],,,0,,
40048,0,137,outer noblewoman,[外命婦],,,0,,宋觀文母韓氏封華原郡太夫人制(蔡忠惠集13/3下)
40052,0,12,Confucian learning,儒學,,,7596,3965,
40054,0,137,outer noblewoman,[外命婦],,,0,,贈齊國夫人
40056,0,85,academy (shuyuan) director,書院山長,,,7596,3964,咸淳間，為紫陽書院山長。
40059,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3873,
40061,0,85,academy (shuyuan) director,書院山長,,,7596,3967,紫陽書院山長。
40061,0,150,dynastic loyalist,遺民,,,0,,
40061,0,252,excelled in horseriding and archery,精於騎射,,,7596,3967,
40061,0,256,military strategist,熟諳兵法韜略、軍事家,,,7596,3967,
40061,1,147,filial son/daughter,孝子/孝女,,,9599,3756,養親
40063,0,137,outer noblewoman,[外命婦],,,0,,贈魏國夫人
40064,0,146,Neo-Confucian thinker (lixue),理學家,,,0,,
40067,0,40,civil office,[為官者：文],,,0,,
40073,0,94,teacher,收徒講學,0,0,7596,3970,
40073,0,146,Neo-Confucian thinker (lixue),理學家,0,0,7596,3970,
40077,0,141,dynastic martyr,死國難,,,0,,
40079,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3877,
40079,0,189,scholar of Classics (Book of Change),經學家—易經,,,7596,3877,
40080,0,2,army officer,武將,,,7596,4135,
40081,0,30,failed exams literatus,落第士人,,,7596,3878,
40082,0,61,military,[武官],,,0,,
40084,0,40,civil office,[為官者：文],,,0,,
40087,0,40,civil office,[為官者：文],,,0,,
40089,0,40,civil office,[為官者：文],,,0,,
40091,0,76,recluse,[隱士],,,0,,潛心理學，隱居樂道，年已及耄，觀書猶至夜分。
40091,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,4294,
40094,0,71,painter,畫家,,,7596,520,
40096,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,4139,
40097,0,40,civil office,[為官者：文],,,0,,
40097,0,77,retainer (ke),門客,,,7596,4061,
40099,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3982,
40103,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,4141,
40103,1,249,thinker,思想家,,,40330,,
40104,0,40,civil office,[為官者：文],,,0,,
40105,0,180,erudite,博學之人,,,7596,524,
40111,0,137,outer noblewoman,[外命婦],,,0,,成國夫人制(文恭集19/242)
40112,0,78,gentleman without office,處士,,,7596,4203,
40112,0,94,teacher,收徒講學,,,7596,4203,
40115,0,40,civil office,[為官者：文],,,0,,
40116,0,40,civil office,[為官者：文],,,0,,
40117,0,72,physician,行醫,,,7596,4261,
40121,0,71,painter,畫家,,,7596,24726,
40122,0,40,civil office,[為官者：文],,,0,,
40123,0,76,recluse,[隱士],,,0,,
40123,0,180,erudite,博學之人,,,7596,24725,
40124,0,71,painter,畫家,,,0,,
40127,0,78,gentleman without office,處士,,,7596,3889,
40127,0,147,filial son/daughter,孝子/孝女,,,7596,3889,
40129,0,137,outer noblewoman,[外命婦],,,0,,宜人
40131,0,14,commoner (buyi),布衣,,,0,,台州百姓求歸一百二歲可守本州助教制(蘇魏公集34/10)
40132,0,40,civil office,[為官者：文],,,0,,
40134,0,40,civil office,[為官者：文],,,0,,
40136,0,40,civil office,[為官者：文],,,0,,
40141,0,71,painter,畫家,,,7596,4270,
40147,0,114,poet,詩人,,,7596,529,
40148,0,111,teaching in reclusion,隱居授徒,,,0,,
40148,0,150,dynastic loyalist,遺民,,,0,,
40151,0,141,dynastic martyr,死國難,,,0,,
40153,0,40,civil office,[為官者：文],,,0,,
40154,0,189,scholar of Classics (Book of Change),經學家—易經,,,7596,24718,
40158,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,年二十餘始知讀書，辭家遠方就學，不數年，通經術，尤深易數。
40158,0,68,office: finance,[財政官員],,,0,,
40160,0,9,calligrapher,書法家,,,0,,
40160,0,235,ci lyric writer,詞人,,,7596,4299,
40161,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,3991,
40162,0,38,philanthropist,為善鄉里,,,7596,4154,
40168,0,40,civil office,[為官者：文],,,0,,
40169,0,264,fond of learning,好學,,,7596,3895,
40170,0,40,civil office,[為官者：文],,,0,,
40170,0,71,painter,畫家,,,0,,
40170,0,114,poet,詩人,,,7596,8004,
40171,0,76,recluse,[隱士],,,0,,
40173,0,30,failed exams literatus,落第士人,,,7596,24715,
40173,0,264,fond of learning,好學,,,7596,24715,
40176,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,
40176,0,147,filial son/daughter,孝子/孝女,,,7596,4276,事父母以孝聞
40178,0,2,army officer,武將,,,0,,
40179,0,71,painter,畫家,,,7596,24714,
40181,0,102,vegetarian,食素,,,7596,24713,
40181,0,147,filial son/daughter,孝子/孝女,,,7596,24713,
40182,0,146,Neo-Confucian thinker (lixue),理學家,,,0,,出處：全元文，第25冊 P342。
40184,0,114,poet,詩人,,,7596,4158,
40185,0,147,filial son/daughter,孝子/孝女,,,7596,4304,
40188,0,71,painter,畫家,,,7596,4160,
40191,0,100,student: university,[大學生],1193,,0,,
40193,0,8,buddhist monk,僧人,,,7596,24709,
40195,0,33,farmer,農民,,,7596,3995,
40195,0,150,dynastic loyalist,遺民,,,0,,
40195,0,189,scholar of Classics (Book of Change),經學家—易經,,,7596,3995,
40196,0,71,painter,畫家,,,7596,4161,
40197,0,150,dynastic loyalist,遺民,,,0,,
40198,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,受家學治易春秋，躬耕孝養。
40199,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,受家學治易春秋，躬耕孝養。
40199,1,117,refused office,拒絕出仕,,,9599,3702,不赴
40199,1,233,skilled at writing,工於文,,,9599,3702,工詩文
40202,0,8,buddhist monk,僧人,,,7596,24708,
40203,0,8,buddhist monk,僧人,,,7596,24707,
40207,0,8,buddhist monk,僧人,,,7596,24706,
40207,0,36,local literatus / gentry,地方士人/鄉紳,,,7596,24706,
40210,0,71,painter,畫家,,,7596,3997,
40212,0,71,painter,畫家,,,7596,4070,其山水氣韻得家法，但未達老練。
40214,0,71,painter,畫家,,,7596,4071,善畫山水，曾模郭熙蒲溪春溜圖傳世。
40216,0,38,philanthropist,為善鄉里,,,7596,3904,
40218,0,71,painter,畫家,,,7596,4282,
40219,0,40,civil office,[為官者：文],,,0,,
40220,0,19,Daoist priest,道士,,,7596,4167,開元宮道士
40220,0,71,painter,畫家,,,7596,4167,
40222,0,71,painter,畫家,,,7596,20589,
40224,0,76,recluse,[隱士],,,0,,
40225,0,256,military strategist,熟諳兵法韜略、軍事家,,,7596,4168,
40230,0,40,civil office,[為官者：文],,,0,,
40231,0,164,Classicist,經學家,,,7596,4171,
40236,0,40,civil office,[為官者：文],,,0,,
40238,0,14,commoner (buyi),布衣,,,7596,4077,
40238,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,4077,
40241,0,75,rebel,叛臣,,,0,,
40242,1,164,Classicist,經學家,,,9599,3881,經學
40244,0,76,recluse,[隱士],,,0,,
40245,0,30,failed exams literatus,落第士人,,,7596,4296,
40245,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,博學能文，舉鄉科，上春官不第，遂老於家。
40247,0,114,poet,詩人,,,7596,4292,工詩，有鏤水集。
40248,0,114,poet,詩人,,,7596,546,
40248,0,147,filial son/daughter,孝子/孝女,,,7596,546,
40249,0,9,calligrapher,書法家,,,7596,545,
40251,0,142,historian,史學家,,,7596,4081,
40253,0,137,outer noblewoman,[外命婦],,,0,,封贈淑人
40255,0,76,recluse,[隱士],,,0,,
