source_id,source_name,target_id,target_name,category,detail_types
26882,葛敏修,3767,蘇軾,友人,友
26882,葛敏修,7111,黃庭堅,友人,友
26882,葛敏修,7197,周必大,文學交往,書序由Y所作|書跋由Y所作|為Y所著書作序|為Y所著書作跋
20743,牟巘,28306,戴表元,其他,書序由Y所作|為Y所作詩文作序|為Y所著書作序|詩文序由Y所作
20743,牟巘,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
20743,牟巘,8043,范仲淹,其他,學記（書院記）由Y所作|廟碑記由Y所作|書、畫由Y作跋|書跋由Y所作|為Y之書、畫作跋|為Y作學記（書院記）|為Y作廟碑記|為Y所著書作跋
20743,牟巘,19865,李公麟,文學交往,書跋由Y所作|為Y所著書作跋
20743,牟巘,27727,方回,其他,收到Y的贈詩、文|相唱和|贈詩、文
20743,牟巘,3257,朱熹,其他,佛寺記由Y所作|為Y作佛寺記|為Y作祝詞|祝詞由Y所作
53511,釋清順,1762,王安石,其他,稱道Y的詩作|詩作為Y所稱道
53511,釋清順,3767,蘇軾,其他,相唱和
22799,王質,10173,文同,文學交往,書跋由Y所作|為Y所著書作跋
22799,王質,3640,陸游,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
22799,王質,7197,周必大,文學交往,致書Y|被致書由Y
22799,王質,3767,蘇軾,其他,為Y作祠記|祠記由Y所作
272,張商英,1648,蔡肇,其他,恩主是Y|是Y的恩主
272,張商英,1488,司馬光,其他,反對/攻訐|遭到Y的反對/攻訐
272,張商英,962,來之邵,其他,忌/惡|排擠|為Y之門客|為Y所忌/惡|遭Y排擠|門客為Y
272,張商英,3595,劉克莊,文學交往,書跋由Y所作|為Y所著書作跋
272,張商英,10084,吳澄,文學交往,書跋由Y所作|為Y所著書作跋
272,張商英,27727,方回,文學交往,書跋由Y所作|為Y所著書作跋
272,張商英,3767,蘇軾,文學交往,致書Y|被致書由Y
272,張商英,8043,范仲淹,文學交往,致書Y|被致書由Y
272,張商英,12969,章援,文學交往,致書Y|被致書由Y
272,張商英,333,章惇,其他,推薦Y給他人（第三方）|被Y推薦給他人（第三方）
16667,朱壽昌,1762,王安石,其他,欣賞/器重|被Y欣賞/器重
16667,朱壽昌,3767,蘇軾,其他,欣賞/器重|為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作|致書Y|被Y欣賞/器重|被致書由Y
16667,朱壽昌,8116,蘇頌,其他,欣賞/器重|被Y欣賞/器重
16667,朱壽昌,10173,文同,其他,為Y作臨別贈言(送別詩、序)|相識|臨別得到Y所作贈言(送別詩、序)
16667,朱壽昌,7364,曾鞏,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
20765,歐陽守道,3257,朱熹,文學交往,書序由Y所作|書跋由Y所作|為Y所著書作序|為Y所著書作跋
20765,歐陽守道,1384,歐陽修,其他,書跋由Y所作|為Y作祠記|為Y所著書作跋|祠記由Y所作
20765,歐陽守道,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
20765,歐陽守道,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
20765,歐陽守道,10543,陳著,其他,字說、名述由Y所作|為Y作字說、名述
20765,歐陽守道,3595,劉克莊,其他,為Y之考官|考官為Y|致書Y|被致書由Y
20765,歐陽守道,11087,林希逸,文學交往,致書Y|被致書由Y
41251,吳復古,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|收到Y的答書|欣賞/器重|為Y之建築物題詠、記、命名|為Y作祭文|為Y作齋、堂銘|祭文由Y所作|稱道Y之節行|答Y書|節行為Y所稱道|被Y欣賞/器重|齋、堂銘由Y所作
41251,吳復古,1078,李師中,其他,從Y遊|從遊者為Y
41251,吳復古,1493,蘇轍,其他,稱道Y之節行|節行為Y所稱道
18726,薛紹彭,11663,呂大臨,其他,論學
18726,薛紹彭,3767,蘇軾,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作|致書Y|被致書由Y
18726,薛紹彭,18299,趙叔盎,文學交往,致書Y|被致書由Y
18726,薛紹彭,3676,米芾,文學交往,致書Y|被致書由Y
35111,吳可,3484,李之儀,其他,建築物得到Y的題詠、記、命名|書跋由Y所作|為Y之建築物題詠、記、命名|為Y之詩文作跋|為Y作畫贊(畫像記)|為Y所著書作跋|畫贊(畫像記)由Y所作|詩文跋由Y所作|詩社成員
35111,吳可,3767,蘇軾,其他,稱道Y的詩作|詩作為Y所稱道
35111,吳可,7045,劉安世,其他,稱道Y的詩作|詩作為Y所稱道
10543,陳著,3257,朱熹,文學交往,書跋由Y所作|為Y所著書作跋
10543,陳著,3767,蘇軾,文學交往,書跋由Y所作|為Y所著書作跋
10543,陳著,19865,李公麟,其他,書、畫由Y作跋|書跋由Y所作|為Y之書、畫作跋|為Y所著書作跋
10543,陳著,28306,戴表元,其他,收到Y的答書|相唱和|答Y書
43314,胡允文,7111,黃庭堅,其他,書跋由Y所作|為Y所著書作跋|為Y祭文作跋|祭文跋由Y所作
43314,胡允文,3767,蘇軾,其他,為Y作祭文|祭文由Y所作
10548,陳貽序,3767,蘇軾,其他,以文章、學問受知於|稱道Y之文章、學問|稱道Y的詩作|詩作為Y所稱道
10548,陳貽序,7364,曾鞏,其他,稱道Y的詩作|詩作為Y所稱道
51510,歐陽經,3767,蘇軾,其他,推薦|被Y推薦
10551,朱載上,3767,蘇軾,其他,從Y遊|從遊者為Y
10551,朱載上,7111,黃庭堅,其他,從Y遊|從遊者為Y
51512,歐陽闢,7059,梅堯臣,師生,學生為Y|為Y之學生
51512,歐陽闢,3767,蘇軾,其他,致書Y|與Y遊|被致書由Y
51511,歐陽獻,7111,黃庭堅,其他,書跋由Y所作|為Y作硯銘|為Y所著書作跋|硯銘由Y所作|致書Y|被致書由Y
51511,歐陽獻,3767,蘇軾,文學交往,致書Y|被致書由Y
