personid,name,degree,new_camp_connections,old_camp_connections,main_relation_types
1521,孫覺,21,1,3,致書Y; 被致書由Y; 祭文由Y所作; 為Y作祭文; 為Y之建築物題詠、記、命名
2032,楊畏,11,3,1,支持; 得到Y的支持; 收到Y所獻詩、文、書; 獻文、書于Y; 恩主是Y
7106,邢恕,11,1,3,恩主是Y; 是Y的恩主; 為Y之門客; 收到Y的贈詩、文; 贈詩、文
8043,范仲淹,168,1,3,為Y作祭文; 祭文由Y所作; 書序由Y所作; 為Y所著書作序; 詩文跋由Y所作
1707,曾布,40,3,1,致書Y; 被致書由Y; 得罪Y; 被Y得罪; 遭Y排擠
11688,高氏(趙曙妻),7,1,3,支持; 恩主是Y; 得到Y的支持; 是Y的恩主; 反對/攻訐
7005,陳襄,51,2,2,推薦; 被Y推薦; 其政策被Y反對/不支持; 反對/不支持Y的政策; 被Y彈劾
7343,孫覿,154,2,2,為Y所著書作跋; 書跋由Y所作; 為Y之建築物題詠、記、命名; 建築物得到Y的題詠、記、命名; 著作被Y評論
971,李常,12,1,3,友; 建築物得到Y的題詠、記、命名; 致書Y; 被致書由Y; 為Y之建築物題詠、記、命名
1953,文彥博,79,1,3,致書Y; 被致書由Y; 建築物得到Y的題詠、記、命名; 為Y之建築物題詠、記、命名; 書序由Y所作
3484,李之儀,46,1,3,為Y所著書作跋; 書跋由Y所作; 因與Y的交往受牽連; 收到Y的答書; 答Y書
3595,劉克莊,465,1,3,書跋由Y所作; 為Y所著書作跋
7026,范祖禹,294,1,3,致書Y; 被致書由Y; 收到Y的答書; 答Y書; 推薦
8051,韓維,42,1,3,致書Y; 被致書由Y; 答Y書; 收到Y的答書
51767,劉渤,7,2,2,支持; 得到Y的支持; 反對/攻訐; 遭到Y的反對/攻訐
1845,王珪,83,1,3,致書Y; 被致書由Y; 被Y彈劾; 彈劾; 為Y作挽詩、詞
1078,李師中,12,2,2,推薦; 支持; 得到Y的支持; 被Y推薦; 反對/攻訐
1408,蒲宗孟,15,2,2,其政策被Y反對/不支持; 反對/不支持Y的政策; 支持; 得到Y的支持; 相唱和
1417,畢仲游,85,1,3,致書Y; 被致書由Y; 門人為Y; 為Y之門人
20419,劉恕,10,1,3,致書Y; 被致書由Y; 為Y乞某事; 書序由Y所作; 為Y所著書作序
753,徐禧,6,2,1,恩主是Y; 是Y的恩主; 支持; 得到Y的支持; 同僚
8131,蔡卞,30,2,1,為Y之學生; 學生為Y; 黨羽為Y; 黨魁為Y; 與Y結黨
1453,沈遼,26,1,2,致書Y; 被致書由Y; 不合; 其政策被Y反對/不支持; 反對/不支持Y的政策
272,張商英,29,1,2,反對/攻訐; 遭到Y的反對/攻訐; 推薦Y給他人（第三方）; 被Y推薦給他人（第三方）; 致書Y
1649,蔡京,190,2,1,支持; 得到Y的支持; 排擠; 遭Y排擠; 為Y所忌/惡
559,范純仁,115,2,1,書序由Y所作; 祭文由Y所作; 為Y所著書作序; 致書Y; 被致書由Y
375,趙抃,43,1,2,不合; 為Y之建築物題詠、記、命名; 建築物得到Y的題詠、記、命名; 墓誌銘由Y所作; 神道碑由Y所作
634,韓縝,13,1,2,被Y彈劾; 彈劾; 反對/攻訐; 遭到Y的反對/攻訐; 致書Y
962,來之邵,8,2,1,支持; 得到Y的支持; 被Y彈劾; 彈劾
1156,林之奇,32,1,2,書跋由Y所作; 為Y所著書作跋; 為Y作畫贊(畫像記); 畫贊(畫像記)由Y所作; 其學為Y所排
1220,劉攽,60,1,2,致書Y; 被致書由Y; 合撰(編)著作; 其政策被Y反對/不支持; 反對/不支持Y的政策
15074,陳敏,8,1,2,反對/攻訐; 對Y執弟子禮; 遭到Y的反對/攻訐; 受Y之弟子禮; 推薦
3439,孔文仲,11,1,2,答Y書; 收到Y的答書; 其政策被Y反對/不支持; 反對/不支持Y的政策; 被Y欣賞/器重
7076,王安國,15,2,1,墓誌銘由Y所作; 為Y作墓誌銘; 陷害Y; 被Y陷害; 友
3888,鄒浩,126,1,2,書跋由Y所作; 為Y所著書作跋; 被Y彈劾; 彈劾
16878,朱光庭,9,1,2,推薦; 被Y推薦; 為Y作祭文; 從Y學; 教授Y
8085,林希,20,1,2,反對/攻訐; 遭到Y的反對/攻訐; 支持; 得到Y的支持; 與Y結黨
1449,沈遘,25,2,1,為Y作祭文; 墓誌銘由Y所作; 祭文由Y所作; 為Y作墓誌銘; 致書Y
15014,魯有開,5,1,2,致書Y; 被致書由Y; 得罪Y; 被Y得罪; 為Y之建築物題詠、記、命名
1324,呂陶,56,2,1,遭Y排擠; 排擠; 其政策被Y反對/不支持; 反對/不支持Y的政策; 為Y之門客
1097,李定,7,1,2,上奏論Y; 被Y奏論; 答Y書; 為Y之學生; 學生為Y
147,錢公輔,11,1,2,致書Y; 為Y作祭文; 祭文由Y所作; 被致書由Y; 得罪Y
8066,黃履,16,1,2,被Y彈劾; 彈劾; 支持; 得到Y的支持
1844,王廣淵,7,1,2,上奏論Y; 被Y奏論; 為Y所佑(政治關係); 護佑Y(政治關係); 為Y之書、畫作跋
7045,劉安世,29,1,2,推薦; 為Y之學生; 被Y推薦; 學生為Y; 遭Y排擠
20450,劉季孫,6,1,2,推薦; 答Y書; 被Y推薦; 收到Y的答書; 稱道Y的詩作
1326,呂大忠,5,2,1,其政策被Y反對/不支持; 反對/不支持Y的政策; 答Y書; 收到Y的答書; 排擠
3580,劉敞,71,1,2,致書Y; 被致書由Y; 書跋由Y所作; 為Y所著書作跋
1542,孫升,6,1,2,反對/攻訐; 遭到Y的反對/攻訐; 致書Y; 被致書由Y
1188,劉瑾,5,1,2,答Y書; 收到Y的答書; 致書Y; 被致書由Y
26418,家勤國,4,1,2,同學、同門; 其政策被Y反對/不支持; 其學為Y所排; 反對/不支持Y的政策; 排Y之學
43524,俞紫芝,4,1,2,從Y遊; 收到Y的答書; 答Y書; 從遊者為Y; 字說、名述由Y所作
8024,趙鼎,36,1,1,為Y學派的成員; 該學派的成員為Y; 反對/攻訐; 遭到Y的反對/攻訐
485,周穜,2,1,1,被Y欣賞/器重; 恩主是Y; 欣賞/器重; 是Y的恩主; 推薦
1960,吳充,14,1,1,致書Y; 被致書由Y; 支持; 得到Y的支持; 為Y作祭文
1647,蔡確,20,1,1,恩主是Y; 是Y的恩主; 其政策被Y反對/不支持; 反對/不支持Y的政策
1648,蔡肇,8,1,1,答Y書; 為Y之學生; 學生為Y; 收到Y的答書; 從Y遊
7383,王子韶,7,1,1,推薦; 恩主是Y; 被Y推薦; 是Y的恩主; 答Y書
8079,李光,63,1,1,上奏論Y; 被Y奏論; 為Y之建築物題詠、記、命名; 建築物得到Y的題詠、記、命名
1,安惇,14,1,1,陷害Y; 被Y陷害; 不合; 支持; 得到Y的支持
3,安燾,10,1,1,收到Y的啓; 致Y啓; 排擠; 遭Y排擠; 友
833,胡宗愈,9,1,1,答Y書; 臨別得到Y所作贈言(送別詩、序); 為Y作臨別贈言(送別詩、序); 收到Y的答書; 得罪Y
395,趙鼎臣,37,1,1,友; 相唱和
465,蔣堂,13,1,1,收到Y的啓; 致Y啓; 書序由Y所作; 為Y所著書作序
1327,呂大防,25,1,1,陷害Y; 排擠; 遭Y排擠; 被Y陷害; 致書Y
