dynasty,addr_chn,count,avg_lat,median_lat
清,山西省,7,37.873752594,37.873752594
清,會稽道,7,,
清,武清,7,39.517601013,39.517601013
清,甘肅省,7,36.047031403,36.047031403
清,興安府,7,32.693626404,32.693626404
清,諸暨,7,29.713136813142857,29.713136673
清,豐潤,7,39.827602386,39.827602386
清,贛州府,7,25.847000122,25.847000122
清,鄞縣,7,29.866315887142857,29.866315842
清,金壇,7,31.74697876,31.74697876
清,仁和,6,30.294124669166667,30.294124603
清,如皋,6,32.384021839333336,32.384021759
清,安徽省,6,30.512294769000004,30.512294769
清,宜興,6,31.363637949333334,31.363637924
清,舟山市,6,,
清,貴溪,6,28.287900925,28.287900925
清,贛南道,6,,
清,通州,6,39.905921936,39.905921936
清,鄖陽府,6,32.833999634,32.833999634
清,鄱陽,6,28.994167328,28.994167328
清,高郵州,6,32.790710449,32.790710449
清,丹徒,5,32.206489563,32.206489563
清,丹陽,5,31.995801926000002,31.995801926
清,句容,5,31.946535066000003,31.94653511
清,會寧,5,35.694198608,35.694198608
清,江山,5,28.735311508000002,28.735311508
清,泰州,5,32.495872498,32.495872498
清,滑縣,5,35.564453125,35.564453125
清,紹興府,5,30.004514694,30.004514694
清,臨川,5,27.984781265,27.984781265
清,蕭山,5,30.161487747399995,30.161487579
清,西安府,5,34.266605377,34.266605377
清,贛北道,5,,
清,陝西省,5,34.266605377,34.266605377
清,[未詳],4,,
清,上元,4,32.0525627855,32.052562714
清,京師,4,39.931430817,39.931430817
清,仙居,4,28.852207184,28.852207184
清,元氏,4,37.750030518,37.750030518
清,南豐,4,27.214305878,27.214305878
清,南陽,4,33.00167811675,33.001678
清,固始,4,32.183540258,32.183540344
清,安肅,4,39.019435883,39.019435883
清,定遠,4,30.72706651725,32.530246735
清,常德府,4,29.034807205,29.034807205
清,平陸,4,34.808998108,34.808998108
清,彭澤,4,29.896095276,29.896095276
清,曲阜,4,35.598602295,35.598602295
清,松潘直隸廳,4,32.648323059,32.648323059
清,武昌,4,30.402717795,30.402717795
清,河南府,4,34.666853904999996,34.665275574
清,河間府,4,38.435699463,38.435699463
清,泰和,4,26.792102814,26.792102814
清,淮安府,4,33.502788544,33.502788544
清,清朝諸道(地區未詳),4,,
清,湖州府,4,30.864963531,30.864963531
清,溫州府,4,28.018291473,28.018291473
清,潛山,4,30.630346298,30.630346298
清,濟南府,4,36.650131226,36.650131226
清,濟寧直隸州,4,35.410430908,35.410430908
清,玉山,4,28.679601669,28.679601669
清,石門市,4,,
清,祁門,4,29.854146957,29.854146957
清,臨清直隸州,4,36.846214294,36.846214294
清,英國,4,,
清,蒙古,4,,
清,西藏地方,4,29.707382202,29.707382202
清,長沙府,4,28.198198318,28.198198318
清,閩縣,4,26.073953721749998,26.073953629
清,順德府,4,37.066356659,37.066356659
清,黟縣,4,29.933116913,29.933116913
清,上虞,3,29.952653885,29.952653885
清,伊犁直隸廳,3,,
清,保定,3,39.006217957,39.006217957
清,儀真,3,32.267544,32.267544
清,光州直隸州,3,32.130302429,32.130302429
清,六合,3,32.348419189,32.348419189
清,合肥,3,31.864456118000003,31.864456177
清,吉林省,3,43.907131195,43.907131195
清,吳城鎭鋪,3,29.233615,29.233615
清,唐縣,3,32.69770813,32.69770813
清,嘉定,3,31.385845122666666,31.385845184
清,堂邑,3,36.487838915,36.487839
清,壽昌,3,29.369588852000003,29.369588852
清,天津市,3,,
清,太倉州,3,31.451000214,31.451000214
清,太平,3,28.36390686,28.36390686
清,安南國,3,,
清,定海直隸廳,3,30.015159607,30.015159607
清,宣化,3,31.7082540035,31.7082540035
清,宣城,3,30.946941376,30.946941376
清,寧海,3,29.283617019999998,29.28361702
清,崇仁,3,27.75564003,27.75564003
