dynasty,addr_chn,region,count,x_coord,y_coord
宋,樂清,南,207,120.95768699999999,28.130676
宋,浮梁,南,207,117.236359,29.382742
宋,新昌,南,206,120.12927504854369,29.355649669902917
宋,丹徒,南,205,119.44429016,32.206489563
宋,長興,南,205,119.901375,31.013893
宋,浦城,南,195,118.53625500000001,27.924686000000005
宋,都昌,南,194,116.189186,29.272564000000003
宋,餘干,南,193,116.681953,28.691545000000005
宋,江山,南,190,118.61593600000002,28.735312
宋,金壇,南,190,119.57061768,31.74697876
宋,建陽,南,189,118.10537,27.33988
宋,丹陽,南,187,119.56985499999999,31.995802
宋,慈溪,南,184,121.44419900000001,29.979195
宋,沙縣,南,184,117.78179200000001,26.39761
宋,新淦,南,183,115.393806,27.759735
宋,寧德,南,175,119.517273,26.661217
宋,羅源,南,175,119.54493000000001,26.490908
宋,華陽,南,173,104.077995,30.650385
宋,成都,南,171,104.077995,30.650385
宋,太和,南,169,114.894874,26.792103
宋,寧海,南,167,121.425552,29.283617
宋,南昌,南,165,113.61996193939395,26.159130472727274
宋,分寧,南,161,114.559631,29.038707999999996
宋,宜興,南,160,119.81438499999999,31.363638
宋,古田,南,159,118.78490400000001,26.601710000000004
宋,會稽,南,159,120.578262,30.004515
宋,宣城,南,158,118.74250000000002,30.946940999999995
宋,曲江,南,157,113.603417,24.810209
宋,新喻,南,156,114.931137,27.804075
宋,閩清,南,155,118.862495,26.213224
宋,永新,南,152,114.23687,26.945564
宋,蘭溪,南,152,119.47885100000002,29.204452999999997
宋,長洲,南,149,120.618622,31.31271
宋,貴溪,南,148,117.20227099999998,28.287900999999998
宋,鄱陽,南,148,116.66383300000001,28.994167
宋,烏程,南,146,120.09931200000001,30.864964000000004
宋,須城,北,139,116.282559,35.956072
宋,永豐,南,138,115.67259817391304,27.419189260869565
宋,無錫,南,135,120.297668,31.574614000000004
宋,天台,南,134,121.026558,29.138258
宋,淳安郡,未知,133,,
宋,青田,南,133,120.288155,28.143875
宋,常熟,南,132,120.733788,31.646582
宋,資州,南,130,104.84835815,29.784748077
宋,臨安,南,127,119.71658,30.318827
宋,上虞,南,126,120.973587,29.952654
宋,仁壽,南,126,104.143768,30.004446
宋,開化,南,126,118.404884,29.14485
宋,永春,南,125,118.28717,25.32579
宋,海鹽,南,124,120.932022,30.517859
宋,建昌,南,123,115.761818,29.087832
宋,興化,南,123,118.85648378048782,25.977023609756095
宋,上黨,北,122,113.103485,36.183537
宋,崇仁,南,121,116.061584,27.75564
宋,建德,南,121,118.92861309090908,29.67862761157025
宋,玉山,南,120,118.24018099999999,28.679602
宋,新建,南,117,115.89772,28.674896
宋,龍遊,南,116,117.04537003448276,29.10870496551724
宋,上饒,南,113,117.96489,28.450691
宋,浦江,南,113,119.883675,29.458708
宋,管城,北,113,113.641312,34.758076
宋,黟縣,南,113,117.930214,29.933117
宋,縉雲,南,111,120.058441,28.648392
宋,嵊縣,南,109,120.815277,29.58749
宋,安陽,北,108,114.345497,36.098343
宋,安仁,南,107,116.36764522429907,28.22871065420561
宋,德安,南,106,115.745026,29.330564
宋,合肥,南,101,117.276459,31.864456000000004
宋,宜黃,南,101,116.21018200000002,27.546391000000003
宋,淳安,南,101,118.965165,29.612287000000002
宋,武義,南,100,119.802269,28.895449
宋,海陽,南,100,116.63665799999998,23.667706
宋,餘杭,南,98,119.9406,30.27177
宋,金谿,南,96,116.77626,27.910084
宋,雍邱,北,96,114.76065999999999,34.49547
宋,惠安,南,95,118.802818,25.022077999999997
宋,祁陽,南,95,111.750727,26.579952000000002
宋,宋城,北,93,115.646072,34.447662
宋,平江府,南,93,120.618622,31.31271
宋,金堂,南,92,104.434563,30.857916
宋,鉅野,北,92,116.08870697,35.396209717
宋,德清,南,91,120.084801,30.553133
宋,慶元府,南,91,121.54265599999998,29.866316
宋,南海,南,90,113.256066,23.134624
宋,潞州,北,90,113.103485,36.183537
宋,華亭,南,90,121.227638,31.009476
宋,尤溪,南,89,118.18219,26.171848
宋,諸暨,南,89,120.22766099999998,29.713137
宋,雙流,南,89,103.92330899999999,30.579893
宋,嚴州,南,88,111.83200083749999,25.147103240499998
宋,江寧,南,87,118.76899,32.052563
宋,陽曲,北,86,112.73601500000001,38.08202
宋,崇德,南,85,120.418739,30.530447
宋,范陽,北,85,115.968147,39.487221
宋,長汀,南,85,116.34954071,25.833381653
宋,於潛,南,84,119.39478299999999,30.192015
宋,蒲江,南,84,103.502586,30.214196999999995
宋,鉛山,南,82,117.776588,28.208446
宋,零陵,南,82,111.58423,26.213489999999997
宋,祁門,南,81,117.706978,29.854147
宋,保昌,南,80,114.302086,25.118843
宋,南安,南,80,118.490440425,24.9625740875
宋,松陽,南,77,119.48534400000001,28.450748
宋,丹稜,南,76,103.512261,30.02619
宋,四川,未知,75,,
宋,星子,南,75,116.041122,29.453485999999998
宋,當塗,南,75,118.483437,31.555685
宋,青神,南,75,103.845108,29.837276000000003
宋,進賢,南,73,116.259071,28.364484999999995
宋,長沙,南,72,112.978134,28.198198
宋,高安,南,72,115.372276,28.425598
宋,衡陽,南,71,112.597038,26.901617
宋,吉州,南,70,114.97127533,27.103239059
宋,和州,南,70,118.36112213,31.714223861999997
宋,湖州,南,70,120.09931183,30.864963531
宋,寧都,南,69,116.010101,26.466515
宋,河南府,北,69,112.38262963753624,34.66527574686957
宋,番禺,南,69,113.27145026086957,23.114192463768113
宋,同安,南,68,118.144119,24.736046
宋,湖口,南,67,116.218018,29.734993
宋,寧化,南,66,116.659508,26.266445
宋,高郵,南,65,119.437332,32.79071
宋,臨邛,南,64,103.456825,30.41659
宋,鄄城,北,64,115.5583,35.61019
宋,元城,北,63,115.146522,36.275528
宋,吳江,南,63,120.637787,31.167065
宋,奉新,南,63,115.377151,28.70723
宋,樂安,南,63,115.831779,27.426289
