personid,name,dynasty,one_liner,bio_paragraph,word_count
9011,趙眘,宋,趙眘（1127-1194），宋人，錢塘人，宗子、統治者、皇帝。,趙眘，宋人，籍貫錢塘。生於1127年，卒於1194年。為宗子、統治者、皇帝。一生主要活動於錢塘。與周必大、陳傅良、劉克莊、史浩、許蒼舒等人交遊唱和。,74
10319,沈煥,宋,沈煥（1139-1191），宋人，鄞縣人，為官者、思想家。,沈煥，宋人，籍貫鄞縣。生於1139年，卒於1191年。為官者、思想家。一生主要活動於定海、鄞縣。與朱熹、周必大、薛季宣、袁燮、竺欣等人交遊唱和。,72
10363,鄭清之,宋,鄭清之（1176-1251），宋人，鄞縣人，宰執。,鄭清之，宋人，籍貫鄞縣。生於1176年，卒於1251年。為宰執。一生主要活動於鄞縣。與劉克莊、史彌遠、方逢辰、胡朝穎、唐璘等人交遊唱和。,68
10697,王淮,宋,王淮（1126-1189），宋人，金華人，理學家、宰執。,王淮，宋人，籍貫金華。生於1126年，卒於1189年。為理學家、宰執。一生主要活動於金華。與朱熹、程珌、史浩、周必大、范成大等人交遊唱和。,69
11664,謝良佐,宋,謝良佐（0-1102），宋人，上蔡人，為官者、思想家。,謝良佐，宋人，籍貫上蔡。生於0年，卒於1102年。為官者、思想家。一生主要活動於上蔡。與胡安國、程頤、呂大臨、程顥、朱熹等人交遊唱和。,67
14293,吳子良,宋,吳子良（1197-0），宋人，臨海人，財政官員。,吳子良，宋人，籍貫臨海。生於1197年，卒於0年。為財政官員。一生主要活動於臨海。與歐陽守道、葉適、劉克莊、林表民、趙孟堅等人交遊唱和。,68
17514,羅願,宋,羅願（1136-1184），宋人，歙縣人，理學家、良吏;循吏、為官者。,羅願，宋人，籍貫歙縣。生於1136年，卒於1184年。為理學家、良吏;循吏、為官者。一生主要活動於歙縣。與朱熹、辛棄疾、施元之、郟升卿、郟亶等人交遊唱和。,77
19713,李清照,宋,李清照（1084-1155），宋女，歷城人，詩人、詞人、好金石。,李清照，宋女，籍貫歷城。生於1084年，卒於1155年。為詩人、詞人、好金石。一生主要活動於青州、臨安府、越州、萊州、歷城。與趙明誠、韓玉父、端木埰、薩雪如、毛晉等人交遊唱和。,88
20727,苗傅,宋,苗傅（0-1129），宋人，錢塘人，叛臣、武將。,苗傅，宋人，籍貫錢塘。生於0年，卒於1129年。為叛臣、武將。一生主要活動於錢塘、上黨。與韓世忠、呂頤浩、康履、藍珪、林祀等人交遊唱和。,68
427910,郭景脩,宋,郭景脩，宋人，京東路人。,郭景脩，宋人，籍貫京東路。一生主要活動於京東路、須城。與范育、何瓘、沈括、安燾、王薦等人交遊唱和。,49
1787,王之望,宋,王之望（1103-1170），宋人，臨海人，財政官員、宰執。,王之望，宋人，籍貫臨海。生於1103年，卒於1170年。為財政官員、宰執。一生主要活動於臨海、穀城。與王十朋、石延慶、某氏(席旦妻)、范宗尹、葉義問等人交遊唱和。,81
3958,王回,宋,王回（1023-1065），宋人，汝陰人，孝子/孝女、為官者。,王回，宋人，籍貫汝陰。生於1023年，卒於1065年。為孝子/孝女、為官者。一生主要活動於侯官、汝陰。與歐陽修、王安石、劉攽、晁說之、陸游等人交遊唱和。,76
8044,范宗尹,宋,范宗尹（?- 1136），宋人，臨海人，工於文、宰執。,范宗尹，宋人，籍貫臨海。卒於1136年。為工於文、宰執。一生主要活動於臨海、鄧城。與周必大、張嵲、洪咨夔、高斯得、張邦昌等人交遊唱和。,67
8075,李昉,宋,李昉（925-996），宋人，開封人，工於文、宰執。,李昉，宋人，籍貫開封。生於925年，卒於996年。為工於文、宰執。一生主要活動於開封、饒陽。與宋琪、楊徽之、武允成、張好問、孟賓于等人交遊唱和。,72
