作品编号	得分构型	作品类别
2022013234	100	微课与教学辅助
2022013678	100	人工智能应用
2022009831	100	信息可视化设计
2022047543	100	数媒静态设计专业组
2022013020	100	信息可视化设计
2022013231	100	数媒动漫与短片专业组
2022009718	100	软件应用与开发
2022012735	100	微课与教学辅助
2022009442	100	微课与教学辅助
2022012326	100	数媒静态设计
2022023676	100	微课与教学辅助
2022012292	100	微课与教学辅助
2022016153	100	信息可视化设计
2022016174	100	微课与教学辅助
2022011611	100	微课与教学辅助
2022047685	100	人工智能应用
2022009424	100	微课与教学辅助
2022016013	100	数媒游戏与交互设计
2022047705	100	人工智能应用
2022011367	100	数媒动漫与短片
2022015665	100	人工智能应用
2022011095	100	信息可视化设计
2022035350	100	微课与教学辅助
2022001171	100	软件应用与开发
2022035399	100	数媒静态设计专业组
2022025178	100	人工智能应用
2022000729	100	人工智能应用
2022001078	100	人工智能应用
2022044062	100	软件应用与开发
2022025148	100	数媒游戏与交互设计专业组
2022038150	100	微课与教学辅助
2022043985	100	数媒游戏与交互设计
2022026228	100	微课与教学辅助
2022006513	100	物联网应用
2022044522	100	微课与教学辅助
2022043913	100	数媒静态设计专业组
2022001737	100	物联网应用
2022009279	100	软件应用与开发
2022006605	100	数媒游戏与交互设计
2022043814	100	信息可视化设计
2022002186	100	信息可视化设计
2022037725	100	人工智能应用
2022002585	100	软件应用与开发
2022043787	100	数媒游戏与交互设计
2022043785	100	微课与教学辅助
2022002796	100	物联网应用
2022027634	100	数媒静态设计
2022037657	100	数媒动漫与短片专业组
2022043728	100	微课与教学辅助
2022043715	100	微课与教学辅助
2022003433	100	软件应用与开发
2022037638	100	数媒动漫与短片
2022043641	100	信息可视化设计
2022000556	100	数媒游戏与交互设计
2022043652	100	数媒游戏与交互设计专业组
2022043526	100	信息可视化设计
2022028909	100	微课与教学辅助
2022043464	100	微课与教学辅助
2022043569	100	微课与教学辅助
2022029522	100	数媒动漫与短片
2022029276	100	软件应用与开发
2022043484	100	微课与教学辅助
2022043461	100	数媒静态设计
2022029588	100	微课与教学辅助
2022029275	100	微课与教学辅助
2022043420	100	微课与教学辅助
2022037574	100	大数据应用
2022043386	100	数媒静态设计
2022043412	100	数媒静态设计专业组
2022043408	100	数媒动漫与短片专业组
2022007171	100	信息可视化设计
2022043416	100	信息可视化设计
2022037531	100	数媒动漫与短片
2022043346	100	微课与教学辅助
2022030425	100	微课与教学辅助
2022007288	100	微课与教学辅助
2022043289	100	数媒静态设计
2022037455	100	数媒动漫与短片
2022043057	100	微课与教学辅助
2022037397	100	数媒动漫与短片专业组
2022004273	100	软件应用与开发
2022042911	100	微课与教学辅助
2022007298	100	人工智能应用
2022037385	100	数媒动漫与短片
2022037390	100	数媒动漫与短片
2022031999	100	微课与教学辅助
2022031996	100	软件应用与开发
2022042839	100	软件应用与开发
2022004486	100	数媒游戏与交互设计专业组
2022007362	100	人工智能应用
2022042828	100	微课与教学辅助
2022042116	100	信息可视化设计
2022042761	100	微课与教学辅助
2022032273	100	数媒动漫与短片专业组
2022005017	100	物联网应用
2022042302	100	人工智能应用
2022005379	100	物联网应用
2022037211	100	软件应用与开发
2022040757	100	信息可视化设计
2022041510	100	微课与教学辅助
2022008785	100	数媒动漫与短片
2022037059	100	人工智能应用
2022037075	100	微课与教学辅助
2022037058	100	软件应用与开发
